workerid,proliferate.condition,attention,choice,item,polarity,response,trial_id,trial_no,type,voice,subject_information.age,subject_information.asses,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.gender,subject_information.language,subject_information.otherRegion,subject_information.price,subject_information.region,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
1022,pilot,critical,,kappalainen,positive,kappalainen,,0,predicative,passve,23,Yes,,2,1,Male,suomi,,1,Pohjois-Savo,Chrome,Windows,1440,2560,3.7570833333333336,
1022,pilot,critical,,valtio,positive,valtion valtiossa,,1,existential,passive,23,Yes,,2,1,Male,suomi,,1,Pohjois-Savo,Chrome,Windows,1440,2560,3.7570833333333336,
1022,pilot,critical,,persikka,positive,persikka,,2,predicative,active,23,Yes,,2,1,Male,suomi,,1,Pohjois-Savo,Chrome,Windows,1440,2560,3.7570833333333336,
1022,pilot,critical,,jokin,positive,jokin maininta,,3,existential,active,23,Yes,,2,1,Male,suomi,,1,Pohjois-Savo,Chrome,Windows,1440,2560,3.7570833333333336,
1022,pilot,critical,,persikka,positive,persikan,,4,existential,active,23,Yes,,2,1,Male,suomi,,1,Pohjois-Savo,Chrome,Windows,1440,2560,3.7570833333333336,
1022,pilot,critical,,harvinainen erikoistapaus,positive,harvinainen erikoistapaus,,5,predicative,active,23,Yes,,2,1,Male,suomi,,1,Pohjois-Savo,Chrome,Windows,1440,2560,3.7570833333333336,
1022,pilot,critical,,harvinainen,positive,harvinainen erikoistapaus,,6,existential,passive,23,Yes,,2,1,Male,suomi,,1,Pohjois-Savo,Chrome,Windows,1440,2560,3.7570833333333336,
1022,pilot,critical,,persoonallinen,positive,persoonallinen suhde,,7,existential,active,23,Yes,,2,1,Male,suomi,,1,Pohjois-Savo,Chrome,Windows,1440,2560,3.7570833333333336,
1022,pilot,critical,,valtio valtiossa,positive,valtion valtiossa,,8,existential,active,23,Yes,,2,1,Male,suomi,,1,Pohjois-Savo,Chrome,Windows,1440,2560,3.7570833333333336,
1022,pilot,critical,,kappalainen,positive,kappalainen,,9,existential,active,23,Yes,,2,1,Male,suomi,,1,Pohjois-Savo,Chrome,Windows,1440,2560,3.7570833333333336,
1022,pilot,critical,,persoonallinen,positive,persoonallinen suhde,,10,existential,passive,23,Yes,,2,1,Male,suomi,,1,Pohjois-Savo,Chrome,Windows,1440,2560,3.7570833333333336,
1022,pilot,critical,,persikka,positive,persikka,,11,predicative,passive,23,Yes,,2,1,Male,suomi,,1,Pohjois-Savo,Chrome,Windows,1440,2560,3.7570833333333336,
1022,pilot,critical,,jokin,positive,jokin maininta,,12,existential,passive,23,Yes,,2,1,Male,suomi,,1,Pohjois-Savo,Chrome,Windows,1440,2560,3.7570833333333336,
1022,pilot,critical,,kappalainen,positive, kappalainen,,13,existential,passive,23,Yes,,2,1,Male,suomi,,1,Pohjois-Savo,Chrome,Windows,1440,2560,3.7570833333333336,
1022,pilot,critical,,tulipalo,positive,tulipalo,,14,existential,passive,23,Yes,,2,1,Male,suomi,,1,Pohjois-Savo,Chrome,Windows,1440,2560,3.7570833333333336,
1022,pilot,critical,,tulipalo,positive,tulipalon,,15,existential,active,23,Yes,,2,1,Male,suomi,,1,Pohjois-Savo,Chrome,Windows,1440,2560,3.7570833333333336,
1022,pilot,critical,,harvinainen erikoistapaus,positive,harvinainen erikoistapaus,,16,existential,active,23,Yes,,2,1,Male,suomi,,1,Pohjois-Savo,Chrome,Windows,1440,2560,3.7570833333333336,
1022,pilot,critical,,kappalainen,positive,kappalainen,,17,predicative,active,23,Yes,,2,1,Male,suomi,,1,Pohjois-Savo,Chrome,Windows,1440,2560,3.7570833333333336,
1022,pilot,critical,,harvinainen erikoistapaus,positive,harvinainen erikoistapaus,,18,predicative,passive,23,Yes,,2,1,Male,suomi,,1,Pohjois-Savo,Chrome,Windows,1440,2560,3.7570833333333336,
1022,pilot,critical,,persikka,positive,persikan,,19,existential,passive,23,Yes,,2,1,Male,suomi,,1,Pohjois-Savo,Chrome,Windows,1440,2560,3.7570833333333336,
1022,pilot,critical,,valtio valtiossa,positive,valtion valtiossa,,20,predicative,active,23,Yes,,2,1,Male,suomi,,1,Pohjois-Savo,Chrome,Windows,1440,2560,3.7570833333333336,
1022,pilot,critical,,valtio valtiossa,positive,valtion valtiossa,,21,predicative,passive,23,Yes,,2,1,Male,suomi,,1,Pohjois-Savo,Chrome,Windows,1440,2560,3.7570833333333336,
1022,pilot,1,,attention,olen,olen,,22,attention,attention,23,Yes,,2,1,Male,suomi,,1,Pohjois-Savo,Chrome,Windows,1440,2560,3.7570833333333336,
1022,pilot,critical,,harvinainen erikoistapaus,negative,harvinaista erikoistapausta,,23,existential,active,23,Yes,,2,1,Male,suomi,,1,Pohjois-Savo,Chrome,Windows,1440,2560,3.7570833333333336,
1022,pilot,1,,attention,olet,olet,,24,attention,attention,23,Yes,,2,1,Male,suomi,,1,Pohjois-Savo,Chrome,Windows,1440,2560,3.7570833333333336,
1022,pilot,critical,,jokin2,positive,jokin maininta,,25,existential,active,23,Yes,,2,1,Male,suomi,,1,Pohjois-Savo,Chrome,Windows,1440,2560,3.7570833333333336,
1022,pilot,critical,,kappalainen,negative,kappalaista,,26,existential,active,23,Yes,,2,1,Male,suomi,,1,Pohjois-Savo,Chrome,Windows,1440,2560,3.7570833333333336,
1022,pilot,critical,,persoonallinen,negative,persoonallista suhdetta,,27,existential,active,23,Yes,,2,1,Male,suomi,,1,Pohjois-Savo,Chrome,Windows,1440,2560,3.7570833333333336,
1022,pilot,critical,,persikka,negative,persikkaa,,28,existential,passive,23,Yes,,2,1,Male,suomi,,1,Pohjois-Savo,Chrome,Windows,1440,2560,3.7570833333333336,
1022,pilot,critical,,valtio,negative,valtiota valtiossa,,29,existential,passive,23,Yes,,2,1,Male,suomi,,1,Pohjois-Savo,Chrome,Windows,1440,2560,3.7570833333333336,
1022,pilot,critical,,tulipalo,negative,tulipaloa,,30,existential,passive,23,Yes,,2,1,Male,suomi,,1,Pohjois-Savo,Chrome,Windows,1440,2560,3.7570833333333336,
1022,pilot,critical,,persoonallinen,negative,persoonallista suhdetta,,31,existential,passive,23,Yes,,2,1,Male,suomi,,1,Pohjois-Savo,Chrome,Windows,1440,2560,3.7570833333333336,
1022,pilot,critical,,jokin,negative,mitään mainintaa,,32,existential,active,23,Yes,,2,1,Male,suomi,,1,Pohjois-Savo,Chrome,Windows,1440,2560,3.7570833333333336,
1022,pilot,1,,attention,on,on,,33,attention,attention,23,Yes,,2,1,Male,suomi,,1,Pohjois-Savo,Chrome,Windows,1440,2560,3.7570833333333336,
1022,pilot,critical,,valtio valtiossa,negative,valtiota valtiossa,,34,existential,active,23,Yes,,2,1,Male,suomi,,1,Pohjois-Savo,Chrome,Windows,1440,2560,3.7570833333333336,
1022,pilot,critical,,jokin2,negative,mitään mainintaa,,35,existential,active,23,Yes,,2,1,Male,suomi,,1,Pohjois-Savo,Chrome,Windows,1440,2560,3.7570833333333336,
1022,pilot,critical,,harvinainen,negative,harvinaista erikoistapausta,,36,existential,passive,23,Yes,,2,1,Male,suomi,,1,Pohjois-Savo,Chrome,Windows,1440,2560,3.7570833333333336,
1022,pilot,critical,,jokin,negative,mitään mainintaa,,37,existential,passive,23,Yes,,2,1,Male,suomi,,1,Pohjois-Savo,Chrome,Windows,1440,2560,3.7570833333333336,
1022,pilot,critical,,kappalainen,negative,kappalaista,,38,existential,passive,23,Yes,,2,1,Male,suomi,,1,Pohjois-Savo,Chrome,Windows,1440,2560,3.7570833333333336,
1022,pilot,critical,,persikka,negative,persikkaa,,39,existential,active,23,Yes,,2,1,Male,suomi,,1,Pohjois-Savo,Chrome,Windows,1440,2560,3.7570833333333336,
1022,pilot,critical,,tulipalo,negative,tulipaloa,,40,existential,active,23,Yes,,2,1,Male,suomi,,1,Pohjois-Savo,Chrome,Windows,1440,2560,3.7570833333333336,
